FY,World-EB1-Total_Petitions,World-EB1-Approved,World-EB1-Denied,World-EB1-Pending,World-EB2-Total_Petitions,World-EB2-Approved,World-EB2-Denied,World-EB2-Pending,World-EB3-Total_Petitions,World-EB3-Approved,World-EB3-Denied,World-EB3-Pending,India-EB1-Total_Petitions,India-EB1-Approved,India-EB1-Denied,India-EB1-Pending,India-EB2-Total_Petitions,India-EB2-Approved,India-EB2-Denied,India-EB2-Pending,India-EB3-Total_Petitions,India-EB3-Approved,India-EB3-Denied,India-EB3-Pending,China-EB1-Total_Petitions,China-EB1-Approved,China-EB1-Denied,China-EB1-Pending,China-EB2-Total_Petitions,China-EB2-Approved,China-EB2-Denied,China-EB2-Pending,China-EB3-Total_Petitions,China-EB3-Approved,China-EB3-Denied,China-EB3-Pending,Row-EB1-Total_Petitions,Row-EB1-Approved,Row-EB1-Denied,Row-EB1-Pending,Row-EB2-Total_Petitions,Row-EB2-Approved,Row-EB2-Denied,Row-EB2-Pending,Row-EB3-Total_Petitions,Row-EB3-Approved,Row-EB3-Denied,Row-EB3-Pending,World-EB1-Deny_rate,World-EB2-Deny_rate,World-EB3-Deny_rate,India-EB1-Deny_rate,India-EB2-Deny_rate,India-EB3-Deny_rate,China-EB1-Deny_rate,China-EB2-Deny_rate,China-EB3-Deny_rate,Row-EB1-Deny_rate,Row-EB2-Deny_rate,Row-EB3-Deny_rate
2009,17238,13546,3630,62,19715,18270,1341,104,20079,16558,3071,450,2820,2261,556,3,7262,6674,538,50,4978,4422,527,29,2701,2127,562,12,2678,2515,144,19,630,543,62,25,11717,9158,2512,47,9775,9081,659,35,14471,11593,2482,396,0.21134140661388,0.068379990821478,0.156452188089052,0.197373091941782,0.074597892401553,0.106486158819964,0.208999628114541,0.054155697630688,0.102479338842975,0.215252784918595,0.067659137577002,0.176341030195382
2010,17599,14269,3250,80,38397,35912,2311,174,23546,20168,2945,433,3337,2627,698,12,16564,15313,1187,64,7487,6682,771,34,3335,2771,556,8,3729,3559,130,40,775,677,74,24,10927,8871,1996,60,18104,17040,994,70,15284,12809,2100,375,0.185512871739254,0.060460978991707,0.127417470687492,0.209924812030075,0.071939393939394,0.103448275862069,0.167117523294259,0.035239902412578,0.098535286284953,0.183675347381982,0.055118110236221,0.140854517405594
2011,17109,13989,2967,153,47382,44000,3155,227,20042,17098,2652,292,3676,3038,619,19,24241,22286,1884,71,8052,6929,1102,21,2986,2432,542,12,4034,3814,153,67,617,554,46,17,10447,8519,1806,122,19107,17900,1118,89,11373,9615,1504,254,0.174982307147912,0.066907008800764,0.134278481012658,0.169264424391578,0.077947869259413,0.137218279168223,0.182246133154001,0.038568187547265,0.076666666666667,0.174915254237288,0.058786412872016,0.135263962586564
2012,17609,15029,2439,141,45518,42601,2696,221,11228,9817,1262,149,4158,3627,520,11,23777,22311,1396,70,4614,4110,491,13,3133,2707,408,18,4078,3910,128,40,376,358,17,1,10318,8695,1511,112,17663,16380,1172,111,6238,5349,754,135,0.13962674604992,0.059518290394507,0.113909197581009,0.125391849529781,0.058885561226642,0.106715931319278,0.130979133226324,0.031698860822189,0.045333333333333,0.148050166568685,0.066773017319964,0.123545797148943
2013,20265,17649,2389,227,41398,38788,2405,205,9919,8710,1054,155,5136,4680,435,21,22829,21440,1327,62,3881,3455,419,7,3715,3253,417,45,3502,3366,104,32,419,379,31,9,11414,9716,1537,161,15067,13982,974,111,5619,4876,604,139,0.119223475396746,0.058383705969461,0.107947562474396,0.085043988269795,0.05828611586946,0.108156943727414,0.113623978201635,0.029971181556196,0.075609756097561,0.136585799342398,0.065124364803423,0.11021897810219
2014,22854,19910,2596,348,49208,46523,2459,226,14952,13699,979,274,6937,6454,440,43,26979,25634,1266,79,4172,3878,286,8,4436,3821,537,78,4120,3984,113,23,4056,3927,75,54,11481,9635,1619,227,18109,16905,1080,124,6724,5894,618,212,0.115347018572825,0.050202115062676,0.066698460280692,0.063823614737453,0.047063197026022,0.068683957732949,0.123221661312529,0.027581156944106,0.018740629685158,0.14385996090279,0.060050041701418,0.09490171990172
2015,24752,21974,2423,355,58787,56167,2401,219,19363,17519,1271,573,6748,6282,441,25,34120,32702,1355,63,6837,6451,374,12,4863,4317,470,76,5204,5095,84,25,1533,1302,53,178,13141,11375,1512,254,19463,18370,962,131,10993,9766,844,383,0.099315489609378,0.040995082638984,0.067642362959021,0.065595716198126,0.039786240714097,0.054798534798535,0.098182577814915,0.016219347364356,0.039114391143912,0.117327539380771,0.049762052555349,0.079547596606975
2016,28719,25369,2892,458,82532,79350,2827,355,36314,31076,2288,2950,8536,7970,536,30,50805,49054,1634,117,10671,10179,468,24,5329,4640,609,80,7625,7472,111,42,4019,3231,154,634,14854,12759,1747,348,24102,22824,1082,196,21624,17666,1666,2292,0.102331835391529,0.03440135317668,0.068576909243496,0.063014342816835,0.032236426767677,0.043956043956044,0.116022099447514,0.014638006066201,0.04549483013294,0.120432924307183,0.045260604032461,0.086178357128078
2017,32064,27284,4296,484,70233,67525,2386,322,37075,31776,2686,2613,9463,8569,839,55,43661,42359,1217,85,9216,8868,329,19,6121,4975,1077,69,6465,6289,152,24,4909,4412,107,390,16480,13740,2380,360,20107,18877,1017,213,22950,18496,2250,2204,0.136035465484484,0.034129107007481,0.077940920434101,0.089179421768708,0.027928217367358,0.035772534522127,0.177957699933906,0.023598820058997,0.023677804824076,0.147642679900744,0.051120940987232,0.108454641858672
2018,28489,22799,4608,1082,69981,66904,2033,1044,39023,34964,3035,1024,8771,7523,1114,134,41193,40317,793,83,8642,8279,341,22,5982,4525,1349,108,8257,8036,181,40,4457,4200,90,167,13736,10751,2145,840,20531,18551,1059,921,25924,22485,2604,835,0.168132228992593,0.029490694402135,0.079870522908498,0.128979969896955,0.019289710532717,0.039559164733179,0.229656111678584,0.022027503955215,0.020979020979021,0.16633064516129,0.054003059663437,0.103790505799354
2019,24170,20106,2531,0,78209,75902,1123,0,46036,42359,2364,0,7903,6883,516,0,45165,44293,550,0,11838,11369,286,0,5614,4324,1029,0,10879,10639,86,0,3988,3904,49,0,10653,8881,986,0,22165,20968,487,0,30210,27074,2029,0,0.171025069261437,0.016972719715862,0.05835308056872,0.111664141960615,0.013049255006169,0.025556250558485,0.276761699838623,0.009422592308535,0.012993900822063,0.152631578947368,0.032706514439221,0.079412915851272
